window_start,Site,Nutrient,Concentration
1991-02-12,BQ1,k_mgL,0.8210000000000001
1991-02-12,BQ1,mg_mgL,3.145
1991-02-12,BQ1,ca_mgL,5.656
1991-02-12,BQ1,nh4n_ugL,NA
1991-04-16,BQ1,no3n_ugL,46.375
1991-04-16,BQ1,k_mgL,0.9255555555555556
1991-04-16,BQ1,mg_mgL,2.9477777777777776
1991-04-16,BQ1,ca_mgL,5.167777777777777
1991-04-16,BQ1,nh4n_ugL,NA
1991-06-18,BQ1,no3n_ugL,32.42857142857143
1991-06-18,BQ1,k_mgL,0.7644444444444445
1991-06-18,BQ1,mg_mgL,3.3777777777777778
1991-06-18,BQ1,ca_mgL,5.622222222222223
1991-06-18,BQ1,nh4n_ugL,NA
1991-08-20,BQ1,no3n_ugL,63.5
1991-08-20,BQ1,k_mgL,1.165
1991-08-20,BQ1,mg_mgL,3.614
1991-08-20,BQ1,ca_mgL,5.84
1991-08-20,BQ1,nh4n_ugL,NA
1991-10-22,BQ1,no3n_ugL,121.6923076923077
1991-10-22,BQ1,k_mgL,1.1407692307692308
1991-10-22,BQ1,mg_mgL,2.716153846153846
1991-10-22,BQ1,ca_mgL,4.274615384615385
1991-10-22,BQ1,nh4n_ugL,NA
1991-12-24,BQ1,no3n_ugL,187.125
1991-12-24,BQ1,k_mgL,1.24
1991-12-24,BQ1,mg_mgL,2.9955555555555557
1991-12-24,BQ1,ca_mgL,4.971111111111111
1991-12-24,BQ1,nh4n_ugL,NA
1992-02-25,BQ1,no3n_ugL,79.75
1992-02-25,BQ1,k_mgL,1.1111111111111112
1992-02-25,BQ1,mg_mgL,3.578888888888889
1992-02-25,BQ1,ca_mgL,6.308888888888889
1992-02-25,BQ1,nh4n_ugL,NA
1992-04-28,BQ1,no3n_ugL,57.125
1992-04-28,BQ1,k_mgL,1.031111111111111
1992-04-28,BQ1,mg_mgL,2.59
1992-04-28,BQ1,ca_mgL,4.303333333333334
1992-04-28,BQ1,nh4n_ugL,NA
1992-06-30,BQ1,no3n_ugL,140.625
1992-06-30,BQ1,k_mgL,1.1466666666666667
1992-06-30,BQ1,mg_mgL,3.2455555555555557
1992-06-30,BQ1,ca_mgL,5.6066666666666665
1992-06-30,BQ1,nh4n_ugL,NA
1992-09-01,BQ1,no3n_ugL,67.71428571428571
1992-09-01,BQ1,k_mgL,1.0655555555555556
1992-09-01,BQ1,mg_mgL,3.517777777777778
1992-09-01,BQ1,ca_mgL,6.2
1992-09-01,BQ1,nh4n_ugL,NA
1992-11-03,BQ1,no3n_ugL,33
1992-11-03,BQ1,k_mgL,0.9622222222222222
1992-11-03,BQ1,mg_mgL,2.4955555555555557
1992-11-03,BQ1,ca_mgL,4.543333333333333
1992-11-03,BQ1,nh4n_ugL,NA
1993-01-05,BQ1,no3n_ugL,20
1993-01-05,BQ1,k_mgL,1.1344444444444444
1993-01-05,BQ1,mg_mgL,3.181111111111111
1993-01-05,BQ1,ca_mgL,4.975555555555555
1993-01-05,BQ1,nh4n_ugL,NA
1993-03-09,BQ1,no3n_ugL,137.11111111111111
1993-03-09,BQ1,k_mgL,1.1744444444444444
1993-03-09,BQ1,mg_mgL,3.671111111111111
1993-03-09,BQ1,ca_mgL,5.795555555555556
1993-03-09,BQ1,nh4n_ugL,NA
1993-05-11,BQ1,no3n_ugL,28.333333333333332
1993-05-11,BQ1,k_mgL,1.1577777777777778
1993-05-11,BQ1,mg_mgL,3.2222222222222223
1993-05-11,BQ1,ca_mgL,5.611111111111111
1993-05-11,BQ1,nh4n_ugL,NA
1993-07-13,BQ1,no3n_ugL,44.6
1993-07-13,BQ1,k_mgL,1.0033333333333334
1993-07-13,BQ1,mg_mgL,3.013333333333333
1993-07-13,BQ1,ca_mgL,5.467777777777778
1993-07-13,BQ1,nh4n_ugL,NA
1993-09-14,BQ1,no3n_ugL,28.333333333333332
1993-09-14,BQ1,k_mgL,1.1211111111111112
1993-09-14,BQ1,mg_mgL,3.3266666666666667
1993-09-14,BQ1,ca_mgL,5.921111111111111
1993-09-14,BQ1,nh4n_ugL,NA
1993-11-16,BQ1,no3n_ugL,22.166666666666668
1993-11-16,BQ1,k_mgL,1.18
1993-11-16,BQ1,mg_mgL,3.1688888888888886
1993-11-16,BQ1,ca_mgL,5.688888888888889
1993-11-16,BQ1,nh4n_ugL,NA
1994-01-18,BQ1,no3n_ugL,13.5
1994-01-18,BQ1,k_mgL,1.0055555555555555
1994-01-18,BQ1,mg_mgL,2.951111111111111
1994-01-18,BQ1,ca_mgL,5.302222222222222
1994-01-18,BQ1,nh4n_ugL,NA
1994-03-22,BQ1,no3n_ugL,65.66666666666667
1994-03-22,BQ1,k_mgL,1.051111111111111
1994-03-22,BQ1,mg_mgL,3.347777777777778
1994-03-22,BQ1,ca_mgL,6.14
1994-03-22,BQ1,nh4n_ugL,NA
1994-05-24,BQ1,no3n_ugL,39
1994-05-24,BQ1,k_mgL,1.1928571428571428
1994-05-24,BQ1,mg_mgL,3.74
1994-05-24,BQ1,ca_mgL,6.634285714285714
1994-05-24,BQ1,nh4n_ugL,NA
1988-01-05,BQ2,no3n_ugL,239.1875
1988-01-05,BQ2,k_mgL,0.8672222222222222
1988-01-05,BQ2,mg_mgL,2.11
1988-01-05,BQ2,ca_mgL,4.415555555555556
1988-01-05,BQ2,nh4n_ugL,18.5
1988-03-08,BQ2,no3n_ugL,192.33333333333334
1988-03-08,BQ2,k_mgL,0.7833333333333333
1988-03-08,BQ2,mg_mgL,2.316666666666667
1988-03-08,BQ2,ca_mgL,4.243333333333333
1988-03-08,BQ2,nh4n_ugL,27.142857142857142
1988-05-10,BQ2,no3n_ugL,239.33333333333334
1988-05-10,BQ2,k_mgL,0.7969999999999999
1988-05-10,BQ2,mg_mgL,2.1189999999999998
1988-05-10,BQ2,ca_mgL,3.587
1988-05-10,BQ2,nh4n_ugL,74.42857142857143
1988-07-12,BQ2,no3n_ugL,178.33333333333334
1988-07-12,BQ2,k_mgL,0.7846666666666666
1988-07-12,BQ2,mg_mgL,2.0286666666666666
1988-07-12,BQ2,ca_mgL,3.446
1988-07-12,BQ2,nh4n_ugL,14
1988-09-13,BQ2,no3n_ugL,205
1988-09-13,BQ2,k_mgL,0.77
1988-09-13,BQ2,mg_mgL,2.37
1988-09-13,BQ2,ca_mgL,4.55
1988-09-13,BQ2,nh4n_ugL,47
1988-11-15,BQ2,no3n_ugL,220.66666666666666
1988-11-15,BQ2,k_mgL,0.8722222222222222
1988-11-15,BQ2,mg_mgL,2.3633333333333333
1988-11-15,BQ2,ca_mgL,4.161111111111111
1988-11-15,BQ2,nh4n_ugL,NA
1989-01-17,BQ2,no3n_ugL,232.8
1989-01-17,BQ2,k_mgL,0.9011111111111111
1989-01-17,BQ2,mg_mgL,2.52
1989-01-17,BQ2,ca_mgL,4.592222222222222
1989-01-17,BQ2,nh4n_ugL,NA
1989-03-21,BQ2,no3n_ugL,190.55555555555554
1989-03-21,BQ2,k_mgL,0.8766666666666667
1989-03-21,BQ2,mg_mgL,2.8766666666666665
1989-03-21,BQ2,ca_mgL,4.467777777777778
1989-03-21,BQ2,nh4n_ugL,NA
1989-05-23,BQ2,no3n_ugL,166.66666666666666
1989-05-23,BQ2,k_mgL,0.9522222222222222
1989-05-23,BQ2,mg_mgL,2.5166666666666666
1989-05-23,BQ2,ca_mgL,4.615555555555556
1989-05-23,BQ2,nh4n_ugL,NA
1989-07-25,BQ2,no3n_ugL,143.25
1989-07-25,BQ2,k_mgL,1.01
1989-07-25,BQ2,mg_mgL,2.541111111111111
1989-07-25,BQ2,ca_mgL,4.905555555555556
1989-07-25,BQ2,nh4n_ugL,NA
1989-09-26,BQ2,no3n_ugL,419.1111111111111
1989-09-26,BQ2,k_mgL,1.4533333333333334
1989-09-26,BQ2,mg_mgL,2.97
1989-09-26,BQ2,ca_mgL,5.465454545454546
1989-09-26,BQ2,nh4n_ugL,NA
1989-11-28,BQ2,no3n_ugL,239.25
1989-11-28,BQ2,k_mgL,1.2066666666666666
1989-11-28,BQ2,mg_mgL,3.1233333333333335
1989-11-28,BQ2,ca_mgL,6.613333333333333
1989-11-28,BQ2,nh4n_ugL,NA
1990-01-30,BQ2,no3n_ugL,188
1990-01-30,BQ2,k_mgL,1.3388888888888888
1990-01-30,BQ2,mg_mgL,3.0522222222222224
1990-01-30,BQ2,ca_mgL,6.53
1990-01-30,BQ2,nh4n_ugL,NA
1990-04-03,BQ2,no3n_ugL,466.7692307692308
1990-04-03,BQ2,k_mgL,1.3635714285714287
1990-04-03,BQ2,mg_mgL,2.4907142857142857
1990-04-03,BQ2,ca_mgL,5.1971428571428575
1990-04-03,BQ2,nh4n_ugL,NA
1990-06-05,BQ2,no3n_ugL,232.77777777777777
1990-06-05,BQ2,k_mgL,1.1311111111111112
1990-06-05,BQ2,mg_mgL,3.2088888888888887
1990-06-05,BQ2,ca_mgL,6.776666666666666
1990-06-05,BQ2,nh4n_ugL,NA
1990-08-07,BQ2,no3n_ugL,121.11111111111113
1990-08-07,BQ2,k_mgL,0.9255555555555556
1990-08-07,BQ2,mg_mgL,3.2244444444444444
1990-08-07,BQ2,ca_mgL,7.187777777777778
1990-08-07,BQ2,nh4n_ugL,NA
1990-10-09,BQ2,no3n_ugL,164.7
1990-10-09,BQ2,k_mgL,0.901
1990-10-09,BQ2,mg_mgL,2.712
1990-10-09,BQ2,ca_mgL,5.773
1990-10-09,BQ2,nh4n_ugL,NA
1990-12-11,BQ2,no3n_ugL,182.11111111111111
1990-12-11,BQ2,k_mgL,0.998
1990-12-11,BQ2,mg_mgL,3.08
1990-12-11,BQ2,ca_mgL,6.782
1990-12-11,BQ2,nh4n_ugL,NA
1991-02-12,BQ2,no3n_ugL,138.11111111111111
1991-02-12,BQ2,k_mgL,0.843
1991-02-12,BQ2,mg_mgL,2.938
1991-02-12,BQ2,ca_mgL,6.742
1991-02-12,BQ2,nh4n_ugL,NA
1991-04-16,BQ2,no3n_ugL,35.75
1991-04-16,BQ2,k_mgL,1.01
1991-04-16,BQ2,mg_mgL,2.8377777777777777
1991-04-16,BQ2,ca_mgL,3.796666666666667
1991-04-16,BQ2,nh4n_ugL,NA
1991-06-18,BQ2,no3n_ugL,81
1991-06-18,BQ2,k_mgL,0.9955555555555555
1991-06-18,BQ2,mg_mgL,3.201111111111111
1991-06-18,BQ2,ca_mgL,5.316666666666666
1991-06-18,BQ2,nh4n_ugL,NA
1991-08-20,BQ2,no3n_ugL,88.2
1991-08-20,BQ2,k_mgL,1.42
1991-08-20,BQ2,mg_mgL,2.9859999999999998
1991-08-20,BQ2,ca_mgL,6.027
1991-08-20,BQ2,nh4n_ugL,NA
1991-10-22,BQ2,no3n_ugL,226.69230769230768
1991-10-22,BQ2,k_mgL,1.273076923076923
1991-10-22,BQ2,mg_mgL,2.7115384615384617
1991-10-22,BQ2,ca_mgL,4.760769230769231
1991-10-22,BQ2,nh4n_ugL,NA
1991-12-24,BQ2,no3n_ugL,283.8888888888889
1991-12-24,BQ2,k_mgL,1.3033333333333332
1991-12-24,BQ2,mg_mgL,2.924444444444444
1991-12-24,BQ2,ca_mgL,5.828888888888889
1991-12-24,BQ2,nh4n_ugL,NA
1992-02-25,BQ2,no3n_ugL,88.125
1992-02-25,BQ2,k_mgL,1.1222222222222222
1992-02-25,BQ2,mg_mgL,3.121111111111111
1992-02-25,BQ2,ca_mgL,5.852222222222222
1992-02-25,BQ2,nh4n_ugL,NA
1992-04-28,BQ2,no3n_ugL,124.875
1992-04-28,BQ2,k_mgL,1.2466666666666666
1992-04-28,BQ2,mg_mgL,2.482222222222222
1992-04-28,BQ2,ca_mgL,5.24
1992-04-28,BQ2,nh4n_ugL,NA
1992-06-30,BQ2,no3n_ugL,108.22222222222223
1992-06-30,BQ2,k_mgL,1.23
1992-06-30,BQ2,mg_mgL,3.26
1992-06-30,BQ2,ca_mgL,6.88
1992-06-30,BQ2,nh4n_ugL,NA
1992-09-01,BQ2,no3n_ugL,49.125
1992-09-01,BQ2,k_mgL,1.2677777777777777
1992-09-01,BQ2,mg_mgL,3.1655555555555557
1992-09-01,BQ2,ca_mgL,6.641111111111111
1992-09-01,BQ2,nh4n_ugL,NA
1992-11-03,BQ2,no3n_ugL,66.28571428571429
1992-11-03,BQ2,k_mgL,1.2144444444444444
1992-11-03,BQ2,mg_mgL,2.6044444444444443
1992-11-03,BQ2,ca_mgL,5.694444444444445
1992-11-03,BQ2,nh4n_ugL,NA
1993-01-05,BQ2,no3n_ugL,135
1993-01-05,BQ2,k_mgL,1.27
1993-01-05,BQ2,mg_mgL,3.181111111111111
1993-01-05,BQ2,ca_mgL,6.49
1993-01-05,BQ2,nh4n_ugL,NA
1993-03-09,BQ2,no3n_ugL,144
1993-03-09,BQ2,k_mgL,1.3044444444444445
1993-03-09,BQ2,mg_mgL,3.243333333333333
1993-03-09,BQ2,ca_mgL,6.347777777777778
1993-03-09,BQ2,nh4n_ugL,NA
1993-05-11,BQ2,no3n_ugL,72.75
1993-05-11,BQ2,k_mgL,1.468888888888889
1993-05-11,BQ2,mg_mgL,2.9611111111111112
1993-05-11,BQ2,ca_mgL,6.171111111111111
1993-05-11,BQ2,nh4n_ugL,NA
1993-07-13,BQ2,no3n_ugL,23.5
1993-07-13,BQ2,k_mgL,1.4122222222222223
1993-07-13,BQ2,mg_mgL,3.1777777777777776
1993-07-13,BQ2,ca_mgL,7.205555555555556
1993-07-13,BQ2,nh4n_ugL,NA
1993-09-14,BQ2,no3n_ugL,55.33333333333333
1993-09-14,BQ2,k_mgL,1.33
1993-09-14,BQ2,mg_mgL,2.8533333333333335
1993-09-14,BQ2,ca_mgL,6.414444444444444
1993-09-14,BQ2,nh4n_ugL,NA
1993-11-16,BQ2,no3n_ugL,56.66666666666667
1993-11-16,BQ2,k_mgL,1.4
1993-11-16,BQ2,mg_mgL,2.6155555555555554
1993-11-16,BQ2,ca_mgL,6.371111111111111
1993-11-16,BQ2,nh4n_ugL,NA
1994-01-18,BQ2,no3n_ugL,12.333333333333334
1994-01-18,BQ2,k_mgL,1.3533333333333333
1994-01-18,BQ2,mg_mgL,2.828888888888889
1994-01-18,BQ2,ca_mgL,5.916666666666667
1994-01-18,BQ2,nh4n_ugL,NA
1994-03-22,BQ2,no3n_ugL,30.166666666666664
1994-03-22,BQ2,k_mgL,1.2733333333333334
1994-03-22,BQ2,mg_mgL,3.0566666666666666
1994-03-22,BQ2,ca_mgL,6.77
1994-03-22,BQ2,nh4n_ugL,NA
1994-05-24,BQ2,no3n_ugL,27.166666666666668
1994-05-24,BQ2,k_mgL,1.48
1994-05-24,BQ2,mg_mgL,3.26
1994-05-24,BQ2,ca_mgL,6.808333333333334
1994-05-24,BQ2,nh4n_ugL,NA
1988-01-05,BQ3,no3n_ugL,165.4375
1988-01-05,BQ3,k_mgL,0.728
1988-01-05,BQ3,mg_mgL,2.556
1988-01-05,BQ3,ca_mgL,3.3953333333333333
1988-01-05,BQ3,nh4n_ugL,33.1764705882353
1988-03-08,BQ3,no3n_ugL,205.22222222222223
1988-03-08,BQ3,k_mgL,0.5555555555555556
1988-03-08,BQ3,mg_mgL,2.6144444444444446
1988-03-08,BQ3,ca_mgL,3.4766666666666666
1988-03-08,BQ3,nh4n_ugL,26.333333333333332
1988-05-10,BQ3,no3n_ugL,196
1988-05-10,BQ3,k_mgL,0.688
1988-05-10,BQ3,mg_mgL,2.339
1988-05-10,BQ3,ca_mgL,2.613
1988-05-10,BQ3,nh4n_ugL,59.57142857142857
1988-07-12,BQ3,no3n_ugL,134.66666666666666
1988-07-12,BQ3,k_mgL,0.6328571428571429
1988-07-12,BQ3,mg_mgL,2.2592857142857143
1988-07-12,BQ3,ca_mgL,2.710714285714286
1988-07-12,BQ3,nh4n_ugL,28.6
1988-09-13,BQ3,no3n_ugL,168.25
1988-09-13,BQ3,k_mgL,0.6275
1988-09-13,BQ3,mg_mgL,2.48875
1988-09-13,BQ3,ca_mgL,3.33125
1988-09-13,BQ3,nh4n_ugL,41.75
1988-11-15,BQ3,no3n_ugL,191.33333333333334
1988-11-15,BQ3,k_mgL,0.7366666666666667
1988-11-15,BQ3,mg_mgL,2.66
1988-11-15,BQ3,ca_mgL,3.815
1988-11-15,BQ3,nh4n_ugL,NA
1989-01-17,BQ3,no3n_ugL,163.66666666666666
1989-01-17,BQ3,k_mgL,0.7688888888888888
1989-01-17,BQ3,mg_mgL,2.8033333333333332
1989-01-17,BQ3,ca_mgL,3.801111111111111
1989-01-17,BQ3,nh4n_ugL,NA
1989-03-21,BQ3,no3n_ugL,164.66666666666666
1989-03-21,BQ3,k_mgL,0.7344444444444445
1989-03-21,BQ3,mg_mgL,2.7355555555555555
1989-03-21,BQ3,ca_mgL,3.9033333333333333
1989-03-21,BQ3,nh4n_ugL,NA
1989-05-23,BQ3,no3n_ugL,92.22222222222223
1989-05-23,BQ3,k_mgL,0.7511111111111111
1989-05-23,BQ3,mg_mgL,2.8066666666666666
1989-05-23,BQ3,ca_mgL,3.7533333333333334
1989-05-23,BQ3,nh4n_ugL,NA
1989-07-25,BQ3,no3n_ugL,155.875
1989-07-25,BQ3,k_mgL,0.81125
1989-07-25,BQ3,mg_mgL,2.4344444444444444
1989-07-25,BQ3,ca_mgL,3.6166666666666667
1989-07-25,BQ3,nh4n_ugL,NA
1989-09-26,BQ3,no3n_ugL,444.625
1989-09-26,BQ3,k_mgL,1.4708333333333332
1989-09-26,BQ3,mg_mgL,3.325454545454545
1989-09-26,BQ3,ca_mgL,3.6163636363636367
1989-09-26,BQ3,nh4n_ugL,NA
1989-11-28,BQ3,no3n_ugL,218.625
1989-11-28,BQ3,k_mgL,1.268888888888889
1989-11-28,BQ3,mg_mgL,3.5666666666666664
1989-11-28,BQ3,ca_mgL,5.1433333333333335
1989-11-28,BQ3,nh4n_ugL,NA
1990-01-30,BQ3,no3n_ugL,381.77777777777777
1990-01-30,BQ3,k_mgL,1.4522222222222223
1990-01-30,BQ3,mg_mgL,3.3755555555555556
1990-01-30,BQ3,ca_mgL,4.81
1990-01-30,BQ3,nh4n_ugL,NA
1990-04-03,BQ3,no3n_ugL,352.3076923076923
1990-04-03,BQ3,k_mgL,1.3478571428571429
1990-04-03,BQ3,mg_mgL,2.6742857142857144
1990-04-03,BQ3,ca_mgL,3.6885714285714286
1990-04-03,BQ3,nh4n_ugL,NA
1990-06-05,BQ3,no3n_ugL,224.25
1990-06-05,BQ3,k_mgL,1.1855555555555555
1990-06-05,BQ3,mg_mgL,3.3677777777777775
1990-06-05,BQ3,ca_mgL,4.614444444444445
1990-06-05,BQ3,nh4n_ugL,NA
1990-08-07,BQ3,no3n_ugL,151.77777777777777
1990-08-07,BQ3,k_mgL,0.9944444444444445
1990-08-07,BQ3,mg_mgL,3.4522222222222223
1990-08-07,BQ3,ca_mgL,5.593333333333334
1990-08-07,BQ3,nh4n_ugL,NA
1990-10-09,BQ3,no3n_ugL,155.11111111111111
1990-10-09,BQ3,k_mgL,0.9339999999999999
1990-10-09,BQ3,mg_mgL,2.934
1990-10-09,BQ3,ca_mgL,5.102
1990-10-09,BQ3,nh4n_ugL,NA
1990-12-11,BQ3,no3n_ugL,170.625
1990-12-11,BQ3,k_mgL,0.9460000000000001
1990-12-11,BQ3,mg_mgL,3.08
1990-12-11,BQ3,ca_mgL,4.6770000000000005
1990-12-11,BQ3,nh4n_ugL,NA
1991-02-12,BQ3,no3n_ugL,146.3
1991-02-12,BQ3,k_mgL,0.79
1991-02-12,BQ3,mg_mgL,3.772
1991-02-12,BQ3,ca_mgL,4.788
1991-02-12,BQ3,nh4n_ugL,NA
1991-04-16,BQ3,no3n_ugL,56.142857142857146
1991-04-16,BQ3,k_mgL,0.8922222222222222
1991-04-16,BQ3,mg_mgL,3.243333333333333
1991-04-16,BQ3,ca_mgL,4.216666666666667
1991-04-16,BQ3,nh4n_ugL,NA
1991-06-18,BQ3,no3n_ugL,118.625
1991-06-18,BQ3,k_mgL,0.8588888888888889
1991-06-18,BQ3,mg_mgL,3.535555555555556
1991-06-18,BQ3,ca_mgL,4.447777777777778
1991-06-18,BQ3,nh4n_ugL,NA
1991-08-20,BQ3,no3n_ugL,114.8
1991-08-20,BQ3,k_mgL,1.05
1991-08-20,BQ3,mg_mgL,3.249
1991-08-20,BQ3,ca_mgL,4.675
1991-08-20,BQ3,nh4n_ugL,NA
1991-10-22,BQ3,no3n_ugL,167
1991-10-22,BQ3,k_mgL,0.8776923076923077
1991-10-22,BQ3,mg_mgL,2.813846153846154
1991-10-22,BQ3,ca_mgL,3.8207692307692307
1991-10-22,BQ3,nh4n_ugL,NA
1991-12-24,BQ3,no3n_ugL,179.55555555555554
1991-12-24,BQ3,k_mgL,1.0333333333333334
1991-12-24,BQ3,mg_mgL,3.13
1991-12-24,BQ3,ca_mgL,4.888888888888888
1991-12-24,BQ3,nh4n_ugL,NA
1992-02-25,BQ3,no3n_ugL,127.375
1992-02-25,BQ3,k_mgL,1.12
1992-02-25,BQ3,mg_mgL,3.3511111111111114
1992-02-25,BQ3,ca_mgL,6.21
1992-02-25,BQ3,nh4n_ugL,NA
1992-04-28,BQ3,no3n_ugL,115
1992-04-28,BQ3,k_mgL,0.9355555555555556
1992-04-28,BQ3,mg_mgL,2.73
1992-04-28,BQ3,ca_mgL,4.054444444444444
1992-04-28,BQ3,nh4n_ugL,NA
1992-06-30,BQ3,no3n_ugL,44.888888888888886
1992-06-30,BQ3,k_mgL,1.1411111111111112
1992-06-30,BQ3,mg_mgL,3.263333333333333
1992-06-30,BQ3,ca_mgL,4.682222222222222
1992-06-30,BQ3,nh4n_ugL,NA
1992-09-01,BQ3,no3n_ugL,56.33333333333333
1992-09-01,BQ3,k_mgL,0.8933333333333333
1992-09-01,BQ3,mg_mgL,3.2177777777777776
1992-09-01,BQ3,ca_mgL,4.835555555555556
1992-09-01,BQ3,nh4n_ugL,NA
1992-11-03,BQ3,no3n_ugL,40.28571428571429
1992-11-03,BQ3,k_mgL,1.0977777777777777
1992-11-03,BQ3,mg_mgL,3.2466666666666666
1992-11-03,BQ3,ca_mgL,4.528888888888889
1992-11-03,BQ3,nh4n_ugL,NA
1993-01-05,BQ3,no3n_ugL,207
1993-01-05,BQ3,k_mgL,0.8122222222222223
1993-01-05,BQ3,mg_mgL,3.0211111111111113
1993-01-05,BQ3,ca_mgL,4.0377777777777775
1993-01-05,BQ3,nh4n_ugL,NA
1993-03-09,BQ3,no3n_ugL,129.125
1993-03-09,BQ3,k_mgL,0.8122222222222222
1993-03-09,BQ3,mg_mgL,3.571111111111111
1993-03-09,BQ3,ca_mgL,4.424444444444444
1993-03-09,BQ3,nh4n_ugL,NA
1993-05-11,BQ3,no3n_ugL,59
1993-05-11,BQ3,k_mgL,0.855
1993-05-11,BQ3,mg_mgL,3.0637499999999998
1993-05-11,BQ3,ca_mgL,4.31625
1993-05-11,BQ3,nh4n_ugL,NA
1993-07-13,BQ3,no3n_ugL,102.83333333333334
1993-07-13,BQ3,k_mgL,0.8355555555555556
1993-07-13,BQ3,mg_mgL,2.95
1993-07-13,BQ3,ca_mgL,4.687777777777778
